Date / Time           ,KWH(ch: 1  set:0)    
2016/07/03 5:00,103.15
2016/07/03 5:15,102.1
2016/07/03 5:30,102.76
2016/07/03 5:45,103.7
2016/07/03 6:00,104.2
2016/07/03 6:15,104.2
2016/07/03 6:30,106.15
2016/07/03 6:45,107.67
2016/07/03 7:00,109.24
2016/07/03 7:15,115.09
2016/07/03 7:30,115.34
2016/07/03 7:45,116.18
2016/07/03 8:00,117.56
2016/07/03 8:15,117.93
2016/07/03 8:30,117.32
2016/07/03 8:45,116.6
2016/07/03 9:00,114.43
2016/07/03 9:15,117.16
2016/07/03 9:30,114.84
2016/07/03 9:45,118.28
2016/07/03 10:00,120.12
2016/07/03 10:15,119.11
2016/07/03 10:30,119.93
2016/07/03 10:45,121.23
2016/07/03 11:00,122.56
2016/07/03 11:15,123.93
2016/07/03 11:30,125.72
2016/07/03 11:45,128.92
2016/07/03 12:00,125.99
2016/07/03 12:15,127.08
2016/07/03 12:30,128.21
2016/07/03 12:45,126.9
2016/07/03 13:00,125.33
2016/07/03 13:15,124.78
2016/07/03 13:30,125.63
2016/07/03 13:45,127.83
2016/07/03 14:00,125.36
2016/07/03 14:15,125.25
2016/07/03 14:30,125.15
2016/07/03 14:45,124.64
2016/07/03 15:00,124.11
2016/07/03 15:15,123.35
2016/07/03 15:30,122.8
2016/07/03 15:45,119.87
2016/07/03 16:00,119.66
2016/07/03 16:15,120.2
2016/07/03 16:30,118.38
2016/07/03 16:45,120.08
2016/07/03 17:00,116.2
2016/07/03 17:15,116.49
2016/07/03 17:30,116.1
2016/07/03 17:45,114.17
2016/07/03 18:00,112.96
2016/07/03 18:15,106.43
2016/07/03 18:30,109.88
2016/07/03 18:45,109.01
2016/07/03 19:00,106.2
2016/07/03 19:15,105.93
2016/07/03 19:30,105.82
2016/07/03 19:45,105.11
2016/07/03 20:00,104.79
2016/07/03 20:15,104.62
2016/07/03 20:30,104.1
2016/07/03 20:45,103.06
2016/07/03 21:00,102.8
2016/07/03 21:15,102.35
2016/07/03 21:30,101.25
2016/07/03 21:45,101.16
2016/07/03 22:00,102.29
2016/07/03 22:15,102.53
2016/07/03 22:30,103.25
2016/07/03 22:45,102.5
2016/07/03 23:00,102.63
2016/07/03 23:15,102.73
2016/07/03 23:30,103.06
2016/07/03 23:45,102.04
2016/07/04 0:00,102.32
2016/07/04 0:15,101.3
2016/07/04 0:30,101.34
2016/07/04 0:45,100.59
2016/07/04 1:00,101.07
2016/07/04 1:15,100.63
2016/07/04 1:30,100.46
2016/07/04 1:45,100.59
2016/07/04 2:00,100.3
2016/07/04 2:15,101.35
2016/07/04 2:30,101.05
2016/07/04 2:45,101.01
2016/07/04 3:00,102.37
2016/07/04 3:15,102.05
2016/07/04 3:30,99.84
2016/07/04 3:45,100.35
2016/07/04 4:00,100.76
2016/07/04 4:15,99.95
2016/07/04 4:30,99.75
2016/07/04 4:45,99.73
2016/07/04 5:00,98.81
2016/07/04 5:15,100.02
2016/07/04 5:30,100.73
2016/07/04 5:45,111.14
2016/07/04 6:00,109.2
2016/07/04 6:15,109.98
2016/07/04 6:30,109.83
2016/07/04 6:45,109.67
2016/07/04 7:00,111.25
2016/07/04 7:15,110.52
2016/07/04 7:30,112.79
2016/07/04 7:45,114.8
2016/07/04 8:00,115.96
2016/07/04 8:15,117.01
2016/07/04 8:30,118.21
2016/07/04 8:45,118.32
2016/07/04 9:00,115.92
2016/07/04 9:15,115.62
2016/07/04 9:30,115.14
2016/07/04 9:45,117.45
2016/07/04 10:00,117.34
2016/07/04 10:15,116.71
2016/07/04 10:30,118.75
2016/07/04 10:45,119.31
2016/07/04 11:00,121.59
2016/07/04 11:15,120.55
2016/07/04 11:30,121.77
2016/07/04 11:45,121.12
2016/07/04 12:00,121.84
2016/07/04 12:15,122.05
2016/07/04 12:30,123.17
2016/07/04 12:45,121.85
2016/07/04 13:00,123.18
2016/07/04 13:15,123.24
2016/07/04 13:30,122.3
2016/07/04 13:45,120.78
2016/07/04 14:00,119.19
2016/07/04 14:15,120.95
2016/07/04 14:30,119.82
2016/07/04 14:45,120.64
2016/07/04 15:00,119.93
2016/07/04 15:15,120.18
2016/07/04 15:30,118.95
2016/07/04 15:45,118.97
2016/07/04 16:00,119.15
2016/07/04 16:15,117.8
2016/07/04 16:30,119.54
2016/07/04 16:45,111.74
2016/07/04 17:00,111.74
2016/07/04 17:15,112.4
2016/07/04 17:30,113.23
2016/07/04 17:45,112.19
2016/07/04 18:00,114.1
2016/07/04 18:15,115.58
2016/07/04 18:30,113.11
2016/07/04 18:45,109.46
2016/07/04 19:00,107.92
2016/07/04 19:15,109.23
2016/07/04 19:30,109.92
2016/07/04 19:45,108.67
2016/07/04 20:00,108.9
2016/07/04 20:15,108.51
2016/07/04 20:30,108.34
2016/07/04 20:45,107.48
2016/07/04 21:00,106.27
2016/07/04 21:15,106.14
2016/07/04 21:30,106.21
2016/07/04 21:45,105.36
2016/07/04 22:00,104.55
2016/07/04 22:15,105
2016/07/04 22:30,104.66
2016/07/04 22:45,103.54
2016/07/04 23:00,102.91
2016/07/04 23:15,104.02
2016/07/04 23:30,103.88
2016/07/04 23:45,103.52
2016/07/05 0:00,104.38
2016/07/05 0:15,103.03
2016/07/05 0:30,103.27
2016/07/05 0:45,103.31
2016/07/05 1:00,102.31
2016/07/05 1:15,102.81
2016/07/05 1:30,101.9
2016/07/05 1:45,102.32
2016/07/05 2:00,102.45
2016/07/05 2:15,101.77
2016/07/05 2:30,102.23
2016/07/05 2:45,101.97
2016/07/05 3:00,101.62
2016/07/05 3:15,100.94
2016/07/05 3:30,101.71
2016/07/05 3:45,101.52
2016/07/05 4:00,100.63
2016/07/05 4:15,100.51
2016/07/05 4:30,102.16
2016/07/05 4:45,103.24
2016/07/05 5:00,101.68
2016/07/05 5:15,102.44
2016/07/05 5:30,103.94
2016/07/05 5:45,109.82
2016/07/05 6:00,110.46
2016/07/05 6:15,117.63
2016/07/05 6:30,116.57
2016/07/05 6:45,117.37
2016/07/05 7:00,117.3
2016/07/05 7:15,119.79
2016/07/05 7:30,123.14
2016/07/05 7:45,123.48
2016/07/05 8:00,120.95
2016/07/05 8:15,121.25
2016/07/05 8:30,121.82
2016/07/05 8:45,123.55
2016/07/05 9:00,124.4
2016/07/05 9:15,126.35
2016/07/05 9:30,126.02
2016/07/05 9:45,127.3
2016/07/05 10:00,127.06
2016/07/05 10:15,125.8
2016/07/05 10:30,125.25
2016/07/05 10:45,125.59
2016/07/05 11:00,127.58
2016/07/05 11:15,129.21
2016/07/05 11:30,130.94
2016/07/05 11:45,131.5
2016/07/05 12:00,132.1
2016/07/05 12:15,132.53
2016/07/05 12:30,133.36
2016/07/05 12:45,130.48
2016/07/05 13:00,132.27
2016/07/05 13:15,132.62
2016/07/05 13:30,132.71
2016/07/05 13:45,131.95
2016/07/05 14:00,130.45
2016/07/05 14:15,130.84
2016/07/05 14:30,129.03
2016/07/05 14:45,128.52
2016/07/05 15:00,131.64
2016/07/05 15:15,131.65
2016/07/05 15:30,128.2
2016/07/05 15:45,128.68
2016/07/05 16:00,126.81
2016/07/05 16:15,127.91
2016/07/05 16:30,127.43
2016/07/05 16:45,127.05
2016/07/05 17:00,122.6
2016/07/05 17:15,122.38
2016/07/05 17:30,121.1
2016/07/05 17:45,121.36
2016/07/05 18:00,118.64
2016/07/05 18:15,113.78
2016/07/05 18:30,117.24
2016/07/05 18:45,116.97
2016/07/05 19:00,117.26
2016/07/05 19:15,113.13
2016/07/05 19:30,110.02
2016/07/05 19:45,108.53
2016/07/05 20:00,107.21
2016/07/05 20:15,105.54
2016/07/05 20:30,104.75
2016/07/05 20:45,103.35
2016/07/05 21:00,103.64
2016/07/05 21:15,103.2
2016/07/05 21:30,104.69
2016/07/05 21:45,104.23
2016/07/05 22:00,103.43
2016/07/05 22:15,103.58
2016/07/05 22:30,103.78
2016/07/05 22:45,103.48
2016/07/05 23:00,102.37
2016/07/05 23:15,102.95
2016/07/05 23:30,102.29
2016/07/05 23:45,101.7
2016/07/06 0:00,101.94
2016/07/06 0:15,101.3
2016/07/06 0:30,100.68
2016/07/06 0:45,101.3
2016/07/06 1:00,100.14
2016/07/06 1:15,99.92
2016/07/06 1:30,99.88
2016/07/06 1:45,99.3
2016/07/06 2:00,99.48
2016/07/06 2:15,99.37
2016/07/06 2:30,98.92
2016/07/06 2:45,99.06
2016/07/06 3:00,99.42
2016/07/06 3:15,99.27
2016/07/06 3:30,98.73
2016/07/06 3:45,98.63
2016/07/06 4:00,99.34
2016/07/06 4:15,99.28
2016/07/06 4:30,99.53
2016/07/06 4:45,100
2016/07/06 5:00,101.59
2016/07/06 5:15,102.32
2016/07/06 5:30,103.3
2016/07/06 5:45,107.73
2016/07/06 6:00,107.6
2016/07/06 6:15,117.86
2016/07/06 6:30,116.9
2016/07/06 6:45,115.45
2016/07/06 7:00,118.85
2016/07/06 7:15,120.77
2016/07/06 7:30,122.87
2016/07/06 7:45,124.93
2016/07/06 8:00,125.05
2016/07/06 8:15,125.45
2016/07/06 8:30,122.01
2016/07/06 8:45,123.02
2016/07/06 9:00,123.83
2016/07/06 9:15,125.14
2016/07/06 9:30,126.87
2016/07/06 9:45,127.45
2016/07/06 10:00,128.94
2016/07/06 10:15,126.43
2016/07/06 10:30,128.63
2016/07/06 10:45,128.7
2016/07/06 11:00,129.53
2016/07/06 11:15,128.16
2016/07/06 11:30,131.25
2016/07/06 11:45,132.38
2016/07/06 12:00,134.55
2016/07/06 12:15,135.79
2016/07/06 12:30,139.37
2016/07/06 12:45,134.51
2016/07/06 13:00,135.17
2016/07/06 13:15,136.27
2016/07/06 13:30,135.88
2016/07/06 13:45,137.03
2016/07/06 14:00,137.72
2016/07/06 14:15,134.38
2016/07/06 14:30,133.04
2016/07/06 14:45,134.35
2016/07/06 15:00,134.68
2016/07/06 15:15,132.85
2016/07/06 15:30,134.33
2016/07/06 15:45,133.56
2016/07/06 16:00,127.56
2016/07/06 16:15,126.96
2016/07/06 16:30,126.59
2016/07/06 16:45,122.85
2016/07/06 17:00,122.49
2016/07/06 17:15,119.81
2016/07/06 17:30,119.69
2016/07/06 17:45,119.66
2016/07/06 18:00,118.91
2016/07/06 18:15,113.38
2016/07/06 18:30,115.61
2016/07/06 18:45,116.74
2016/07/06 19:00,117.29
2016/07/06 19:15,114.49
2016/07/06 19:30,112.86
2016/07/06 19:45,111.95
2016/07/06 20:00,109.62
2016/07/06 20:15,108.73
2016/07/06 20:30,107.92
2016/07/06 20:45,107.71
2016/07/06 21:00,107.93
2016/07/06 21:15,106.47
2016/07/06 21:30,105.81
2016/07/06 21:45,105.64
2016/07/06 22:00,105.84
2016/07/06 22:15,104.95
2016/07/06 22:30,104.35
2016/07/06 22:45,104.16
2016/07/06 23:00,104.51
2016/07/06 23:15,104.34
2016/07/06 23:30,102.8
2016/07/06 23:45,102.99
2016/07/07 0:00,103.39
2016/07/07 0:15,102.32
2016/07/07 0:30,102.5
2016/07/07 0:45,102.76
2016/07/07 1:00,101.75
2016/07/07 1:15,100.84
2016/07/07 1:30,101.52
2016/07/07 1:45,101.53
2016/07/07 2:00,100.77
2016/07/07 2:15,101.32
2016/07/07 2:30,102.12
2016/07/07 2:45,101.41
2016/07/07 3:00,100.48
2016/07/07 3:15,101.81
2016/07/07 3:30,102.39
2016/07/07 3:45,101.36
2016/07/07 4:00,101.64
2016/07/07 4:15,101.05
2016/07/07 4:30,100.99
2016/07/07 4:45,100.37
2016/07/07 5:00,101.22
2016/07/07 5:15,102.04
2016/07/07 5:30,103.51
2016/07/07 5:45,108.84
2016/07/07 6:00,110.06
2016/07/07 6:15,117.81
2016/07/07 6:30,116.6
2016/07/07 6:45,114.53
2016/07/07 7:00,117.27
2016/07/07 7:15,116.39
2016/07/07 7:30,119.09
2016/07/07 7:45,121.86
2016/07/07 8:00,125.41
2016/07/07 8:15,124.98
2016/07/07 8:30,125.65
2016/07/07 8:45,123.81
2016/07/07 9:00,121.86
2016/07/07 9:15,121.29
2016/07/07 9:30,126.64
2016/07/07 9:45,126.7
2016/07/07 10:00,126.06
2016/07/07 10:15,126.77
2016/07/07 10:30,126.25
2016/07/07 10:45,128.01
2016/07/07 11:00,128.19
2016/07/07 11:15,131.61
